label;geo_local_area;geom;geo_point_2d
141;Renfrew-Collingwood;"{""coordinates"": [-123.04057723116256, 49.241154693503795], ""type"": ""Point""}";49.241154693503795, -123.04057723116256
38;Renfrew-Collingwood;"{""coordinates"": [-123.03609465578404, 49.241662549953624], ""type"": ""Point""}";49.241662549953624, -123.03609465578404
35;Renfrew-Collingwood;"{""coordinates"": [-123.03673999686607, 49.24236794197082], ""type"": ""Point""}";49.24236794197082, -123.03673999686607
127;Renfrew-Collingwood;"{""coordinates"": [-123.0400313443298, 49.243306139970144], ""type"": ""Point""}";49.243306139970144, -123.0400313443298
115;Renfrew-Collingwood;"{""coordinates"": [-123.04131055008321, 49.24257721041519], ""type"": ""Point""}";49.24257721041519, -123.04131055008321
119;Renfrew-Collingwood;"{""coordinates"": [-123.0431215678137, 49.243286137861816], ""type"": ""Point""}";49.243286137861816, -123.0431215678137
15;Renfrew-Collingwood;"{""coordinates"": [-123.039836418788, 49.23716110872705], ""type"": ""Point""}";49.23716110872705, -123.039836418788
82;Renfrew-Collingwood;"{""coordinates"": [-123.03661056088065, 49.23870192798755], ""type"": ""Point""}";49.23870192798755, -123.03661056088065
86;Renfrew-Collingwood;"{""coordinates"": [-123.03743615095695, 49.239168066733264], ""type"": ""Point""}";49.239168066733264, -123.03743615095695
147;Renfrew-Collingwood;"{""coordinates"": [-123.03759360700344, 49.23988279549686], ""type"": ""Point""}";49.23988279549686, -123.03759360700344
144;Renfrew-Collingwood;"{""coordinates"": [-123.03930719151955, 49.24026151849316], ""type"": ""Point""}";49.24026151849316, -123.03930719151955
93;Renfrew-Collingwood;"{""coordinates"": [-123.03945445047039, 49.239485250944604], ""type"": ""Point""}";49.239485250944604, -123.03945445047039
101;Renfrew-Collingwood;"{""coordinates"": [-123.04147430711544, 49.240187359655124], ""type"": ""Point""}";49.240187359655124, -123.04147430711544
120;Renfrew-Collingwood;"{""coordinates"": [-123.04345366355855, 49.24379961438869], ""type"": ""Point""}";49.24379961438869, -123.04345366355855
26;Renfrew-Collingwood;"{""coordinates"": [-123.0356052268745, 49.240620036678564], ""type"": ""Point""}";49.240620036678564, -123.0356052268745
16;Killarney;"{""coordinates"": [-123.04214879699428, 49.23027835460965], ""type"": ""Point""}";49.23027835460965, -123.04214879699428
34;Renfrew-Collingwood;"{""coordinates"": [-123.03527655559634, 49.23518383469567], ""type"": ""Point""}";49.23518383469567, -123.03527655559634
16;Renfrew-Collingwood;"{""coordinates"": [-123.04150402335283, 49.23510579133666], ""type"": ""Point""}";49.23510579133666, -123.04150402335283
37;Killarney;"{""coordinates"": [-123.03565936874462, 49.23323450946155], ""type"": ""Point""}";49.23323450946155, -123.03565936874462
23;Renfrew-Collingwood;"{""coordinates"": [-123.0347235831723, 49.23996483985594], ""type"": ""Point""}";49.23996483985594, -123.0347235831723
S;Hastings-Sunrise;"{""coordinates"": [-123.04137792108902, 49.28964986915915], ""type"": ""Point""}";49.28964986915915, -123.04137792108902
5;Killarney;"{""coordinates"": [-123.04337898732769, 49.22244457286276], ""type"": ""Point""}";49.22244457286276, -123.04337898732769
5;Killarney;"{""coordinates"": [-123.04014345183704, 49.22219803086689], ""type"": ""Point""}";49.22219803086689, -123.04014345183704
D;Hastings-Sunrise;"{""coordinates"": [-123.02547185791892, 49.265345053343545], ""type"": ""Point""}";49.265345053343545, -123.02547185791892
A;Hastings-Sunrise;"{""coordinates"": [-123.03228207112608, 49.271807775984705], ""type"": ""Point""}";49.271807775984705, -123.03228207112608
86;Hastings-Sunrise;"{""coordinates"": [-123.03273893687769, 49.27185140904344], ""type"": ""Point""}";49.27185140904344, -123.03273893687769
95;Hastings-Sunrise;"{""coordinates"": [-123.02985031619352, 49.267870054954706], ""type"": ""Point""}";49.267870054954706, -123.02985031619352
1;Renfrew-Collingwood;"{""coordinates"": [-123.0299072298993, 49.24731852349709], ""type"": ""Point""}";49.24731852349709, -123.0299072298993
1;Renfrew-Collingwood;"{""coordinates"": [-123.03223270273322, 49.247343759386744], ""type"": ""Point""}";49.247343759386744, -123.03223270273322
12;Renfrew-Collingwood;"{""coordinates"": [-123.02832889188889, 49.252578951220855], ""type"": ""Point""}";49.252578951220855, -123.02832889188889
6;Renfrew-Collingwood;"{""coordinates"": [-123.02887250301559, 49.2556336289153], ""type"": ""Point""}";49.2556336289153, -123.02887250301559
4;Renfrew-Collingwood;"{""coordinates"": [-123.02946627422769, 49.25967886025528], ""type"": ""Point""}";49.25967886025528, -123.02946627422769
41;Renfrew-Collingwood;"{""coordinates"": [-123.03403459672585, 49.24089112286014], ""type"": ""Point""}";49.24089112286014, -123.03403459672585
80;Renfrew-Collingwood;"{""coordinates"": [-123.03239199995491, 49.24273533104534], ""type"": ""Point""}";49.24273533104534, -123.03239199995491
78;Renfrew-Collingwood;"{""coordinates"": [-123.03419083596364, 49.243468581068235], ""type"": ""Point""}";49.243468581068235, -123.03419083596364
71;Renfrew-Collingwood;"{""coordinates"": [-123.03323283302677, 49.241695989390905], ""type"": ""Point""}";49.241695989390905, -123.03323283302677
68;Renfrew-Collingwood;"{""coordinates"": [-123.03063988465931, 49.24057654705484], ""type"": ""Point""}";49.24057654705484, -123.03063988465931
83;Renfrew-Collingwood;"{""coordinates"": [-123.02945403430293, 49.241533526151244], ""type"": ""Point""}";49.241533526151244, -123.02945403430293
