address,secondary_addresses,local_area,primary_address,pid,folio,units,year_built,zoning,zoning_district,zoning_classification,value_land,value_bldg,bsns_group,bsns_name,bsns_trade_name,bsns_type,bsns_subtype,name,management,n_issues,issues_details
1600 beach av,"",West End,1600 beach av,029334772,617113050000,449,2011,,CD-1 (573),Comprehensive Development,57760000,142878000,Devonshire Properties,Beach Towers Investments Inc,Larch House;Dogwood House;Maple House,Long-term Rental,"",,,,
930 seymour st,916 seymour st;920 seymour st;940 seymour st;950 seymour st;960 seymour st;970 seymour st;980 seymour st;990 seymour st,Downtown,930 seymour st,024677752,134604960000,430,2002,,CD-1 (369),Comprehensive Development,87166000,151539000,bcIMC Realty Corporation / QuadReal Group,bcIMC Realty Corporation,"",Long-term Rental,"",,,,
512 campbell av,"",,512 campbell av,"","",375,1967,,,,,,,,,,,Stamp's Place,BC Housing,,
3338 sawmill crescent,3340 sawmill crescent;3342 sawmill crescent;3344 sawmill crescent;3346 sawmill crescent;8549 jack uppal st;8551 jack uppal st;8553 jack uppal st;8555 jack uppal st;8557 jack uppal st;8561 jack uppal st;8563 jack uppal st;8565 jack uppal st,Killarney,3338 sawmill crescent,029936560,"",337,2025,,,,,,,,,,,Sawmill,M'akola Housing Society,,
1661 davie st,1181 cardero st,West End,1181 cardero st,030120799,114609950000,330,2020,,C-5A,Commercial,76465000,132830000,Crombie REIT,1600 Davie Residential Holdings Inc,"",Long-term Rental,"",,,,
350 keefer st,"",,350 keefer st,"","",300,1970,,,,,,,,,,,MacLean Park - Phase II,BC Housing,,
1644 nelson st,"",West End,1644 nelson st,016913086,606113600000,276,1975,RM-5A,RM-5A,Residential,23945000,67925000,Westsea Construction Ltd,Westsea Construction Ltd,"",Long-term Rental,"",,,,
1255 bidwell st,"",West End,1255 bidwell st,015752739,613111970000,265,1963,,RM-5A,Residential,31956300,71449800,Feliz Enterprises Ltd,Feliz Enterprises Ltd,"",Long-term Rental,"",,,5,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1255&street=BIDWELL%20STREET
1616 pendrell st,"",West End,1616 pendrell st,006889310;006889361;006889654;006889093;006889336;006890148;006889255;006889328;006889280;006890008;006889107;006889948,609113060000,264,1966,RM-5A,RM-5A,Residential,37281000,59242000,Amon Investments Ltd,Amon Investments Ltd,"",Long-term Rental,"",,,,
1529 w pender st,1502 w hastings st;1506 w hastings st;1508 w hastings st;1512 w hastings st;1518 w hastings st;1528 w hastings st;1538 w hastings st;1548 w hastings st;1549 w pender st;1555 w pender st;1558 w hastings st;1568 w hastings st;1578 w hastings st;683 nicola st,Downtown,1529 w pender st,024333387,592114950000,236,2002,,CD-1 (312),Comprehensive Development,55792000,92660000,bcIMC Realty Corporation / QuadReal Group,bcIMC Realty Corporation Bayview Coal Harbour Holdings Inc,"",Long-term Rental,"",,,,
1450 chestnut st,"",Kitsilano,1450 chestnut st,002990954,98629960000,234,1961,,RM-4,Residential,35171000,50283000,Vancouver Properties Ltd,Vancouver Properties Ltd,"",Long-term Rental,"",,,,
1650 haro st,"",,1650 haro st,"","",226,1975,,,,,,,,,,,Sunset Towers,BC Housing,,
1115 nelson st,"",West End,1115 nelson st,015752836;015752861;015752828;015752844;015752852,606118950000,223,1969,,RM-5B,Residential,1,1,The Bloom Group Community Services Society,The Bloom Group Community Services Society,Nicholson Tower,Long-term Rental,Non-Profit Housing,Nicholson Towers,The Bloom Group,3,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1115&street=NELSON%20STREET
1011 beach av,"",West End,1011 beach av,008920796,617119050000,220,1969,,RM-5A,Residential,34564000,67124000,No. 260 Seabright Holdings Ltd,No. 260 Seabright Holdings Ltd,Martello Tower Apartments,Long-term Rental,"",,,,
1030 burnaby st,"",West End,1030 burnaby st,008477426,613119540000,216,1972,,RM-5A,Residential,47622000,21297000,Society For Christian Care of Elderly,Society For Christian Care of Elderly,Twin Arms,Long-term Rental,Non-Profit Housing,Twin Arms,Society for Christian Care of the Elderly,,
1155 bute st,1150 jervis st;1203 davie st;1205 davie st;1215 davie st;1221 davie st;1231 davie st;1235 davie st;1237 davie st;1239 davie st;1247 davie st;1255 davie st;1283 davie st;1295 davie st,West End,1150 jervis st,015741109,117609940000,216,1970,C-5,C-5,Commercial,38443000,97667000,,,,,,,,,
124 dunlevy av,404 alexander st,Strathcona,124 dunlevy av,030244099,579194040000,213,2021,,CD-1 (709),Comprehensive Development,3500000,19091000,City of Vancouver,City of Vancouver,Roddan Lodge,Long-term Rental,Non-Profit Housing,Roddan Lodge,City of Vancouver,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=124&street=DUNLEVY%20AVENUE
1515 w 57th av,1517 w 57th av;1519 w 57th av;1527 w 57th av;1529 w 57th av;1531 w 57th av;1533 w 57th av;1535 w 57th av,Kerrisdale,1515 w 57th av,030313899,810124930000,213,2016,,CD-1 (521),Comprehensive Development,15459000,96731000,Wall Financial Corp,Wall Financial Corp,"",Long-term Rental,"",,,,
1985 wallace st,"",West Point Grey,1985 wallace st,007685025,640030970000,200,1975,,RM-3A,Residential,31727000,38432000,,,,,,Steeves Manor,BC Housing,,
1016 nelson st,1022 nelson st;1030 nelson st;1032 nelson st;1034 nelson st;1036 nelson st;1038 nelson st;1040 nelson st,West End,1022 nelson st,025491792,"",199,2002,DD,,,,,,,,,,,,,
89 w georgia st,99 w georgia st,Downtown,89 w georgia st,029217326,162597940000,197,2015,CD-1 (311),CD-1 (311),Comprehensive Development,12987000,59520000,,,,,,,,,
1615 robson st,1625 robson st;1635 robson st;1655 robson st;1675 robson st;777 cardero st,West End,777 cardero st,007464894;018195300;007464991;007465106;007465297,"",190,1970,C-5A,,,,,,,,,,,,,
939 beatty st,108 smithe st;118 smithe st;128 smithe st;903 beatty st;907 beatty st;915 beatty st;917 beatty st;921 beatty st;925 beatty st;929 beatty st;935 beatty st;945 beatty st;951 beatty st;959 beatty st,Downtown,939 beatty st,025442325,160604050000,189,2004,,DD,Comprehensive Development,40095000,60166000,bcIMC Realty Corporation / QuadReal Group,bcIMC Realty Corporation Yaletown 939 Harbour Holdings Inc,"",Long-term Rental,"",,,,
801 e 6th av,807 e 6th av,Mount Pleasant,801 e 6th av,008491071,645212310000,188,1971,,R3-3,Residential,29891000,30309000,262109 B C Ltd,262109 B C Ltd,"",Long-term Rental,"",,,7,http://app.vancouver.ca/RPS_Net/Default.aspx?num=801&street=E%206TH%20AVENUE
1265 burnaby st,"",West End,1265 burnaby st,002589401,613117050000,185,1970,,RM-5A,Residential,21328000,57536000,Hollyburn Properties Ltd,Hollyburn Properties (Alberta) Ltd,Hendry House,Long-term Rental,"",,,,
1150 burnaby st,"",West End,1150 burnaby st,015746747;015746712;015295036;015295052;015746755;015746739;015294994;015295001,613118400000,176,1970,,RM-5A,Residential,21303000,46452000,Prospero International Realty Inc,Paul Y Mansion (Paul Mansion),Paul Y Construction (B C) Ltd,Long-term Rental,"",,,3,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1150&street=BURNABY%20STREET
1111 beach av,"",West End,1111 beach av,014949831,617118950000,176,1969,RM-5A,RM-5A,Residential,28668000,39441000,372328 BC Ltd,372328 BC Ltd,Sunset Plaza,Long-term Rental,"",,,,
1770 pendrell st,"",West End,1770 pendrell st,029833272,"",173,2019,,,,,,Westbank Living,1700 Pendrell Property Inc,"",Long-term Rental,"",,,,
1750 e 41st av,1751 e 43rd av,Victoria-Fraserview,1750 e 41st av,007719230,755237510000,170,1974,,CD-1 (84),Comprehensive Development,9286000,26254000,,,,,,Menno Court,Mennonite Senior Citizens' Society of B.C.,,
1225 cardero st,"",,1225 cardero st,"","",169,1964,,,,,,Maple Leaf Property Management,331750 BC Ltd,"",Long-term Rental,"",,,2,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1225&street=CARDERO%20STREET
5701 nanaimo st,"",,5701 nanaimo st,"","",169,1959,,,,,,,,,,,Orchard Park,BC Housing,,
1021 harwood st,"",West End,1021 harwood st,008484350,615119650000,164,1973,RM-5A,RM-5A,Residential,44101000,13298000,Calabash Investment Ltd,Calabash Investment Ltd,Carlton Court,Long-term Rental,"",,,,
1450 w georgia st,1458 w georgia st;1489 alberni st,West End,1450 w georgia st,025079573,600115060000,162,1955,,DD,Comprehensive Development,54237000,20849000,1450 West Georgia Investments Ltd,1450 West Georgia Investments Ltd,"",Long-term Rental,"",,,2,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1450&street=W%20GEORGIA%20STREET
1099 richards st,"",Downtown,1099 richards st,029182115,138606950000,162,2016,,DD,Comprehensive Development,1,1,127 Society For Housing,127 Society For Housing,Jubilee House,Long-term Rental,Non-Profit Housing,New Jubilee House,The 127 Society for Housing,,
1155 thurlow st,"",West End,1155 thurlow st,030585554,609118820000,162,2018,CD-1 (607),CD-1 (607),Comprehensive Development,135000,8248000,,,,,,,,,
1160 haro st,"",West End,1160 haro st,004565207;004565002;004565061;004565177;004565088;004565126,603118260000,161,1970,RM-5B,RM-5B,Residential,23300000,43907000,Hollyburn Properties Ltd,Hollyburn Properties Limited,Central Plaza,Long-term Rental,"",,,,
699 cardero st,"",Downtown,699 cardero st,018567282,600113950000,161,2001,,CD-1 (321),Comprehensive Development,34677000,58167000,Austeville Properties Ltd,Austeville Properties Ltd,"",Long-term Rental,"",,,,
950 cassiar st,"",,950 cassiar st,"","",160,1978,,,,,,,,,,,Adanac Village Co-op,Adanac Village Co-op Housing Association,,
705 jackson av,"",,705 jackson av,"","",157,1965,,,,,,,,,,,MacLean Park - Phase I,BC Housing,,
1668 davie st,1610 davie st;1620 davie st;1650 davie st;1670 davie st,West End,1668 davie st,029872812,612113960000,157,2019,C-5A,C-5A,Commercial,64036000,147452000,331750 B.C. LTD.,331750 B.C. LTD.,Maple Leaf Property Management,Long-term Rental,"",,,,
6620 elliott st,"",Victoria-Fraserview,6620 elliott st,008960151,270790860000,153,1966,,CD-1 (7B),Comprehensive Development,9292001,17818001,,,,,,Killarney Gardens,BC Housing,,
1651 harwood st,"",West End,1651 harwood st,029239133,615113570000,152,1968,,CD-1 (574),Comprehensive Development,11765000,51992000,English Bay Towers Investments Inc,English Bay Towers Investments Inc,Cypress House,Long-term Rental,"",,,,
3501 naples w,3503 naples w;3504 corsica w;3504 naples w;3505 naples w;3506 corsica w;3506 naples w;3508 corsica w;3508 naples w;3509 naples w;3510 corsica w;3510 naples w;3511 naples w;3512 corsica w;3512 naples w;3513 naples w;3514 corsica w;3514 naples w;3516 corsica w;3516 naples w;3517 naples w;3518 corsica w;3518 naples w;3519 naples w;3520 corsica w;3520 naples w;3521 naples w;3522 corsica w;3522 naples w;3523 naples w;3524 corsica w;3524 naples w;3525 naples w;3529 naples w;3531 naples w;3532 corsica w;3532 naples w;3533 naples w;3534 corsica w;3534 naples w;3535 naples w;3536 corsica w;3536 naples w;3537 naples w;3538 corsica w;3538 naples w;3540 corsica w;3540 naples w;3541 naples w;3542 corsica w;3542 naples w;3543 naples w;3544 corsica w;3544 naples w;3545 naples w;3546 corsica w;3546 naples w;3547 naples w;3548 corsica w;3548 naples w;3549 naples w;3550 naples w;3552 naples w;3553 naples w;3555 naples w;3557 naples w;3559 naples w;3561 naples w;3562 corsica w;3562 naples w;3564 corsica w;3564 naples w;3565 naples w;3566 corsica w;3566 naples w;3567 naples w;3568 corsica w;3568 naples w;3570 corsica w;3570 naples w;3572 corsica w;3572 naples w;3574 corsica w;3574 naples w;3576 corsica w;3576 naples w;3578 corsica w;3578 naples w;3580 corsica w;3580 naples w;3582 corsica w;3582 naples w;3584 corsica w;3586 corsica w;3588 corsica w;3590 corsica w;3592 corsica w;3594 corsica w;8303 aegean crescent;8304 capri crescent;8305 aegean crescent;8306 capri crescent;8307 aegean crescent;8308 capri crescent;8309 aegean crescent;8310 capri crescent;8311 aegean crescent;8312 capri crescent;8313 aegean crescent;8314 capri crescent;8315 aegean crescent;8316 capri crescent;8317 aegean crescent;8318 capri crescent;8319 aegean crescent;8320 capri crescent;8321 aegean crescent;8322 capri crescent;8323 aegean crescent;8324 capri crescent;8325 aegean crescent;8326 capri crescent;8327 aegean crescent;8328 capri crescent;8329 aegean crescent;8330 capri crescent;8331 aegean crescent;8332 capri crescent;8333 aegean crescent;8334 capri crescent;8335 aegean crescent;8336 capri crescent;8337 aegean crescent;8338 capri crescent;8339 aegean crescent;8340 capri crescent;8341 aegean crescent;8343 aegean crescent,Killarney,3501 naples w,007236239,"",151,1982,,,,,,,,,,,Tivoli Gardens,Metro Vancouver Housing Corporation,,
1155 beach av,1160 pacific st,West End,1155 beach av,008644977,617118250000,151,1969,RM-5A,RM-5A,Residential,29772000,38217000,1155 Beach Avenue Ltd,1155 Beach Avenue Ltd,"",Long-term Rental,"",,,,
2020 haro st,"",West End,2020 haro st,008996873,603107940000,150,1965,,RM-5B,Residential,28535000,38205000,Radke Bros Construction Ltd,Radke Bros Construction Ltd,"",Long-term Rental,"",,,,
7155 blake st,"",,7155 blake st,"","",150,1975,,,,,,,,,,,Kanata Co-op,Kanata Co-op Housing Association,,
1501 haro st,1505 haro st,West End,1501 haro st,015775712,603114950000,148,1973,RM-5,RM-5,Residential,12720000,48303000,Starlight Investments,IMH 1501 Haro Apartments Ltd,"",Long-term Rental,"",,,,
3655 victoria dr,3687 victoria dr;3689 victoria dr;3691 victoria dr;3693 victoria dr,Kensington-Cedar Cottage,3655 victoria dr,030591571,250695930000,148,2020,,CD-1 (714),Comprehensive Development,11376000,65871000,DVRM Investments Ltd,DVRM Investments Ltd,"",Long-term Rental,"",,,,
215 w 2nd av,219 w 2nd av;225 w 2nd av,Mount Pleasant,215 w 2nd av,028554124,640173910000,147,2013,,CD-1 (501),Comprehensive Development,1,1,Raincity Housing And Support Society;Sanford Housing Society,Raincity Housing And Support Society;Sanford Housing Society,Marguerite Ford Apartments,Long-term Rental,Non-Profit Housing,Marguerite Ford Apartments,Sanford Housing Society,,
220 princess av,606 powell st;616 powell st;626 powell st;636 powell st,Strathcona,220 princess av,028345797,580198060000,147,2015,,CD-1 (526),Comprehensive Development,175001,1323001,Raincity Housing and Support Society,Raincity Housing and Support Society,Budzey Building,Long-term Rental,Non-Profit Housing,Budzey Building,Raincity Housing and Support Society,5,http://app.vancouver.ca/RPS_Net/Default.aspx?num=220&street=PRINCESS%20AVENUE
450 e cordova st,"",Strathcona,450 e cordova st,007756836,589194980000,147,1974,,DEOD,Comprehensive Development,1,1,City of Vancouver,City of Vancouver,Oppenheimer Lodge,Long-term Rental,Non-Profit Housing,Oppenheimer Lodge,City of Vancouver,6,http://app.vancouver.ca/RPS_Net/Default.aspx?num=450&street=E%20CORDOVA%20STREET
1915 haro st,"",West End,1915 haro st,013940554;013940694,603108950000,145,1931,,RM-5B,Residential,13314000,32169000,1915 Haro Holdings Ltd,1915 Haro Holdings Ltd,"",Long-term Rental,"",,,,
1455 e 3rd av,"",,1455 e 3rd av,"","",145,1973,,,,,,,,,,,Grandview Tower #1,Baptist Housing Society of B.C.,,
403 e hastings st,"",Strathcona,403 e hastings st,012175056;012175030;012175048,590194030000,145,2021,,DEOD,Comprehensive Development,4106120,18986000,,,,,,The Patricia,Atira Property Management Inc.,,
1348 barclay st,"",West End,1348 barclay st,015838412,605116040000,143,1970,,RM-5,Residential,12709000,49228000,Starlight Investments,IMH 1348 BARCLAY APARTMENTS LTD,"",Long-term Rental,"",,,,
1134 burrard st,1136 burrard st;1138 burrard st,Downtown,1134 burrard st,007074531,120608220000,141,2014,,CD-1 (510),Comprehensive Development,961001,6717001,The Kettle Friendship Society,The Kettle Friendship Society,"",Long-term Rental,Non-Profit Housing,Kettle on Burrard,Kettle Society,,
122 water st,114 water st,Downtown,122 water st,014190656,580157800000,140,2014,,HA-2,Historical Area,9714000,3400000,Atira Women's Resource Society,Atira Women's Resource Society,Colonial Hotel,Long-term Rental,Non-Profit Housing,Colonial Residence,Atira Property Management Inc.,3,http://app.vancouver.ca/RPS_Net/Default.aspx?num=122&street=WATER%20STREET
1424 nelson st,"",West End,1424 nelson st,015761126;015761169;015761428;015761177;015761134,606115540000,139,1969,RM-5,RM-5,Residential,10893000,37788000,Itziar Management Ltd,Itziar Management Ltd,"",Long-term Rental,"",,,,
111 princess av,"",Strathcona,111 princess av,028456874,579196960000,139,2014,,CD-1 (533),Comprehensive Development,1,1,PHS Community Services Society,PHS Community Services Society,Alexander Street Community,Long-term Rental,Non-Profit Housing,Alexander Street Community,PHS Community Services Society,2,http://app.vancouver.ca/RPS_Net/Default.aspx?num=111&street=PRINCESS%20AVENUE
6465 vivian st,"",Victoria-Fraserview,6465 vivian st,030186137,279771950000,139,2020,,CD-1 (669),Comprehensive Development,1289000,9911000,,,,,,Vivian Apartments,Fair Haven Homes Society,,
603 w 59th av,"",Marpole,603 w 59th av,031794513,813167950000,138,2022,,CD-1 (696),Comprehensive Development,10325000,10049000,SUCCESS Housing Society,SUCCESS Affordable Housing Society,"",Long-term Rental,Non-Profit Housing,Dogwood Gardens,S.U.C.C.E.S.S.,,
1755 haro st,1785 haro st,West End,1755 haro st,015743055,"",138,1971,,,,,,Starlight Investments,IMH 1755 Haro Apartments Ltd,"",Long-term Rental,"",,,4,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1755&street=HARO%20STREET
1755 w 14th av,"",Fairview,1755 w 14th av,030107661,686120050000,137,2021,,CD-1 (661),Comprehensive Development,37760000,101953000,Sun Life Assurance Company of Canada,Sun Life Assurance Company of Canada,"",Long-term Rental,"",,,,
1005 jervis st,1328 nelson st,West End,1005 jervis st,007998571,606116960000,136,1974,RM-5,RM-5,Residential,10893000,46992000,Starlight Investments,IMH 1005 Jervis Apartments Ltd,"",Long-term Rental,"",,,,
1221 seymour st,1225 seymour st,Downtown,1221 seymour st,024161071,134612190000,136,2000,,DD,Comprehensive Development,1,1,Affordable Housing Advisory Association,Affordable Housing Advisory Association,"",Long-term Rental,Non-Profit Housing,Seymour Place,Affordable Housing Societies,,
95 e 1st av,"",Mount Pleasant,95 e 1st av,029631785,638184930000,135,2018,,CD-1 (612),Comprehensive Development,1569000,18627000,,,,,,95 E 1st Ave,Community Land Trust Foundation of BC,,
310 alexander st,320 alexander st,Strathcona,310 alexander st,015605451;015605434;015605418;015605400;015605396;015605426,579192280000,133,1986,,DEOD,Comprehensive Development,510801,1393001,THE VETERANS MEMORIAL HOUSING SOCIETY,THE VETERANS MEMORIAL HOUSING SOCIETY,Veterans Memorial Manor,Long-term Rental,Non-Profit Housing,Veterans Memorial Manor,Veterans' Memorial Housing Society,7,http://app.vancouver.ca/RPS_Net/Default.aspx?num=310&street=ALEXANDER%20STREET
1155 harwood st,"",West End,1155 harwood st,015746810;015746801;015746828,615118350000,132,1970,,RM-5A,Residential,15977000,32507000,Westcott Middlegate Rental Agency Ltd,Wescott Middlegate Rental Agency Ltd,Lincoln House,Long-term Rental,"",,,,
1444 alberni st,711 broughton st,West End,1444 alberni st,007561938,601115940000,129,1970,DD,DD,Comprehensive Development,92737000,673000,,,,,,,,,
188 e 1st av,1721 main st;1739 main st,Mount Pleasant,188 e 1st av,027877108,638186960000,129,2012,,CD-1 (478),Comprehensive Development,521001,1811001,Lookout Housing and Health Society,Lookout Housing and Health Society,"",Long-term Rental,Non-Profit Housing,First Place,Lookout Housing and Health Society,2,http://app.vancouver.ca/RPS_Net/Default.aspx?num=188&street=E%201ST%20AVENUE
825 nicola st,1502 robson st;1506 robson st;1510 robson st;1514 robson st,West End,825 nicola st,030498309,602114980000,128,2021,,C-5A,Commercial,24834000,65876000,Canada Life Assurance Co,Canada Life Assurance Co,"",Long-term Rental,"",,,1,http://app.vancouver.ca/RPS_Net/Default.aspx?num=825&street=NICOLA%20STREET
