claim_key,entity_a,entity_b,relationship,source_type,source_note,reported_by,date_reported,confidence,status
hollyburn-ltd-limited-variant,Hollyburn Properties Ltd,Hollyburn Properties Limited,same_entity,manual_research,From vhd landlord_mapping.toml business-grouping research. 'Limited' vs 'Ltd' formatting variant of the BC parent.,,2026-08-07,unconfirmed,active
hollyburn-bc-alberta-common-owner,Hollyburn Properties Ltd,Hollyburn Properties (Alberta) Ltd,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. Distinct Alberta-incorporated subsidiary, same ownership group.",,2026-08-07,unconfirmed,active
hollyburn-alberta-variant-1,Hollyburn Properties (Alberta) Ltd,Hollyburn (Alberta) Ltd,same_entity,manual_research,From vhd landlord_mapping.toml business-grouping research. Formatting variant of the Alberta subsidiary's name.,,2026-08-07,unconfirmed,active
hollyburn-alberta-variant-2,Hollyburn Properties (Alberta) Ltd,Hollyburn Properties Alberta Ltd,same_entity,manual_research,From vhd landlord_mapping.toml business-grouping research. Formatting variant of the Alberta subsidiary's name.,,2026-08-07,unconfirmed,active
hollyburn-alberta-variant-3,Hollyburn Properties (Alberta) Ltd,Hollyburn Properties (Alberta) Limited,same_entity,manual_research,From vhd landlord_mapping.toml business-grouping research. Formatting variant of the Alberta subsidiary's name.,,2026-08-07,unconfirmed,active
hollyburn-legacy-common-owner,Hollyburn Properties Ltd,Hollyburn Legacy Properties Ltd,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. Distinctly-named subsidiary/brand, same ownership group.",,2026-08-07,unconfirmed,active
cressey-cressey-development,Cressey Development Group,Cressey Development,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
cressey-cressey-developments-ltd,Cressey Development Group,Cressey Developments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
cressey-cressey-development-corp,Cressey Development Group,Cressey Development Corp,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
cressey-corp-corporation-variant,Cressey Development Corp,Cressey Development Corporation,same_entity,manual_research,From vhd landlord_mapping.toml business-grouping research. 'Corp' vs 'Corporation' formatting variant.,,2026-08-07,unconfirmed,active
cressey-cressey-properties-corp,Cressey Development Group,Cressey Properties Corp,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
cressey-cressey-victoria-diversion-holdings-ltd,Cressey Development Group,Cressey Victoria Diversion Holdings Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
cressey-cressey-18th-avenue-holdings-ltd,Cressey Development Group,Cressey 18th Avenue Holdings Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
cressey-eton-place-apts-ltd,Cressey Development Group,Eton Place Apts Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
cressey-graveley-apts-ltd,Cressey Development Group,Graveley Apts Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
cressey-sandringham-apts-ltd,Cressey Development Group,Sandringham Apts Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
starlight-imh-1501-haro-apartments-ltd,Starlight Investments,IMH 1501 Haro Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-imh-1348-barclay-apartments-ltd,Starlight Investments,IMH 1348 BARCLAY APARTMENTS LTD,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-imh-1755-haro-apartments-ltd,Starlight Investments,IMH 1755 Haro Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-imh-1005-jervis-apartments-ltd,Starlight Investments,IMH 1005 Jervis Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-imh-945-jervis-apartments-ltd,Starlight Investments,IMH 945 JERVIS APARTMENTS LTD,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-imh-1320-bute-apartments-ltd,Starlight Investments,IMH 1320 Bute Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-imh-1360-hornby-apartments-ltd,Starlight Investments,IMH 1360 Hornby Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-imh-1454-pendrell-apartments-ltd,Starlight Investments,IMH 1454 PENDRELL APARTMENTS LTD,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-imh-1629-haro-apartments-ltd,Starlight Investments,IMH 1629 Haro Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-imh-1765-pendrell-apartments-ltd,Starlight Investments,IMH 1765 Pendrell Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-imh-1371-harwood-apartments-ltd,Starlight Investments,IMH 1371 Harwood Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-imh-1433-burnaby-apartments-ltd,Starlight Investments,IMH 1433 Burnaby Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-gf-ii-1255-pendrell-apartments-ltd,Starlight Investments,GF II 1255 PENDRELL APARTMENTS LTD,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-gf-ii-1160-broughton-apartments-ltd,Starlight Investments,GF II 1160 BROUGHTON APARTMENTS LTD,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-gf-ii-5815-yew-apartments-ltd,Starlight Investments,GF II 5815 Yew Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-gf-ii-8616-oak-apartments-ltd,Starlight Investments,GF II 8616 Oak Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-danbar-2035-barclay-apartments-ltd,Starlight Investments,Danbar 2035 Barclay Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
starlight-d-d-1265-cardero-apartments-ltd,Starlight Investments,D D 1265 Cardero Apartments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Note: Starlight works with MetCap (property manager).,,2026-08-07,unconfirmed,active
devonshire-beach-towers,Devonshire Properties,Beach Towers Investments Inc,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
crombie-1600-davie,Crombie REIT,1600 Davie Residential Holdings Inc,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Crombie REIT owns a range of commercial real estate: https://www.crombie.ca/our-properties/,,2026-08-07,unconfirmed,active
westbank-1700-pendrell-property-inc,Westbank Living,1700 Pendrell Property Inc,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. https://living.westbankcorp.com/property/pendrell . Note: the mapping also links buildings 1770 Pendrell St, 1480 Howe St (Vancouver House), and 1661 Davie St (Zephyr, built with Crombie) to this landlord — building-level linkage isn't representable in ownership_claims and was not carried over here.",,2026-08-07,unconfirmed,active
westbank-pw-comox-holdings-ltd,Westbank Living,PW Comox Holdings Ltd,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. https://living.westbankcorp.com/property/pendrell . Note: the mapping also links buildings 1770 Pendrell St, 1480 Howe St (Vancouver House), and 1661 Davie St (Zephyr, built with Crombie) to this landlord — building-level linkage isn't representable in ownership_claims and was not carried over here.",,2026-08-07,unconfirmed,active
concert-concert-realty-services-ltd,Concert Realty Group,Concert Realty Services Ltd,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. Mapping also links building 1138 Granville St to this landlord — not carried over (ownership_claims is entity-to-entity, not entity-to-building).",,2026-08-07,unconfirmed,active
concert-concert-real-estate-corporation,Concert Realty Group,Concert Real Estate Corporation,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. Mapping also links building 1138 Granville St to this landlord — not carried over (ownership_claims is entity-to-entity, not entity-to-building).",,2026-08-07,unconfirmed,active
concert-vlc-leaseholds-ltd,Concert Realty Group,VLC Leaseholds Ltd,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. Mapping also links building 1138 Granville St to this landlord — not carried over (ownership_claims is entity-to-entity, not entity-to-building).",,2026-08-07,unconfirmed,active
bcimc-bcimc-realty-corporation,bcIMC Realty Corporation / QuadReal Group,bcIMC Realty Corporation,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. Mapping also links building 1529 W Pender St to this landlord — not carried over (ownership_claims is entity-to-entity, not entity-to-building).",,2026-08-07,unconfirmed,active
bcimc-bcimc-realty-corporation-dunway-court-holdings-inc,bcIMC Realty Corporation / QuadReal Group,bcIMC Realty Corporation & Dunway Court Holdings Inc,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. Mapping also links building 1529 W Pender St to this landlord — not carried over (ownership_claims is entity-to-entity, not entity-to-building).",,2026-08-07,unconfirmed,active
bcimc-bcimc-realty-corporation-larchway-gardens-holdings-inc,bcIMC Realty Corporation / QuadReal Group,bcIMC Realty Corporation & Larchway Gardens Holdings Inc,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. Mapping also links building 1529 W Pender St to this landlord — not carried over (ownership_claims is entity-to-entity, not entity-to-building).",,2026-08-07,unconfirmed,active
bcimc-bcimc-realty-corporation-yaletown-939-harbour-holdings-inc,bcIMC Realty Corporation / QuadReal Group,bcIMC Realty Corporation Yaletown 939 Harbour Holdings Inc,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. Mapping also links building 1529 W Pender St to this landlord — not carried over (ownership_claims is entity-to-entity, not entity-to-building).",,2026-08-07,unconfirmed,active
bcimc-bcimc-realty-corporation-bayview-coal-harbour-holdings-inc,bcIMC Realty Corporation / QuadReal Group,bcIMC Realty Corporation Bayview Coal Harbour Holdings Inc,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. Mapping also links building 1529 W Pender St to this landlord — not carried over (ownership_claims is entity-to-entity, not entity-to-building).",,2026-08-07,unconfirmed,active
bcimc-intercity-developments-ltd,bcIMC Realty Corporation / QuadReal Group,Intercity Developments Ltd,common_owner,manual_research,"From vhd landlord_mapping.toml business-grouping research. Mapping also links building 1529 W Pender St to this landlord — not carried over (ownership_claims is entity-to-entity, not entity-to-building).",,2026-08-07,unconfirmed,active
wolverton-pacific-investment-corporation-ltd,Wolverton Group,Pacific Investment Corporation Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
wolverton-huntly-investments-ltd,Wolverton Group,Huntly Investments Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
wolverton-lord-nelson-suites-inc,Wolverton Group,Lord Nelson Suites Inc,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research.,,2026-08-07,unconfirmed,active
bosa-bosa-kingswood-properties-barclay-inc,Bosa Developments,Bosa-Kingswood Properties (Barclay) Inc,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. https://bosaproperties.com/Residential-Portfolio/Own-a-Home — original notes flag this landlord as having 'a lot of stuff going on'; mapping may be incomplete.,,2026-08-07,unconfirmed,active
bosa-bosa-properties-1078-harwood-inc,Bosa Developments,Bosa Properties (1078) Harwood Inc,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. https://bosaproperties.com/Residential-Portfolio/Own-a-Home — original notes flag this landlord as having 'a lot of stuff going on'; mapping may be incomplete.,,2026-08-07,unconfirmed,active
bosa-bosa-properties-1332-thurlow-inc,Bosa Developments,Bosa Properties (1332 Thurlow) Inc,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. https://bosaproperties.com/Residential-Portfolio/Own-a-Home — original notes flag this landlord as having 'a lot of stuff going on'; mapping may be incomplete.,,2026-08-07,unconfirmed,active
bosa-1040-barclay-street-enterprises-inc,Bosa Developments,1040 Barclay Street Enterprises Inc,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. https://bosaproperties.com/Residential-Portfolio/Own-a-Home — original notes flag this landlord as having 'a lot of stuff going on'; mapping may be incomplete.,,2026-08-07,unconfirmed,active
plana-plan-a-1168-pendrell-st-ltd,Plan A Real Estate Services Ltd,Plan A - 1168 Pendrell St Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Original notes flag this landlord's business-mapping as reporting incomplete data.,,2026-08-07,unconfirmed,active
plana-plan-a-1540-haro-street-ltd,Plan A Real Estate Services Ltd,Plan A - 1540 Haro Street Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Original notes flag this landlord's business-mapping as reporting incomplete data.,,2026-08-07,unconfirmed,active
plana-plan-a-935-jervis-st-ltd,Plan A Real Estate Services Ltd,Plan A - 935 Jervis St Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Original notes flag this landlord's business-mapping as reporting incomplete data.,,2026-08-07,unconfirmed,active
plana-plan-a-1170-barclay-street-ltd,Plan A Real Estate Services Ltd,Plan A - 1170 Barclay Street Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Original notes flag this landlord's business-mapping as reporting incomplete data.,,2026-08-07,unconfirmed,active
plana-plan-a-1425-haro-street-ltd,Plan A Real Estate Services Ltd,Plan A 1425 Haro Street Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Original notes flag this landlord's business-mapping as reporting incomplete data.,,2026-08-07,unconfirmed,active
plana-plan-a-1431-haro-street-ltd,Plan A Real Estate Services Ltd,Plan A - 1431 Haro Street Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Original notes flag this landlord's business-mapping as reporting incomplete data.,,2026-08-07,unconfirmed,active
plana-plan-a-1405-haro-street-ltd,Plan A Real Estate Services Ltd,Plan A - 1405 Haro Street Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Original notes flag this landlord's business-mapping as reporting incomplete data.,,2026-08-07,unconfirmed,active
plana-plan-a-corporate-units-ltd,Plan A Real Estate Services Ltd,Plan A Corporate Units Ltd,common_owner,manual_research,From vhd landlord_mapping.toml business-grouping research. Original notes flag this landlord's business-mapping as reporting incomplete data.,,2026-08-07,unconfirmed,active
tribe-greenbrier-holdings-ltd,Tribe Rental Management,Greenbrier Holdings Ltd,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Original notes explicitly flag ownership as unconfirmed ('probably not owned by tribe?') — recorded as managed_by, not common_owner, since Tribe is a property manager, not an established beneficial owner, of these entities.",,2026-08-07,unconfirmed,active
tribe-morris-faigen-bertha-cohen,Tribe Rental Management,Morris Faigen & Bertha Cohen,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Original notes explicitly flag ownership as unconfirmed ('probably not owned by tribe?') — recorded as managed_by, not common_owner, since Tribe is a property manager, not an established beneficial owner, of these entities.",,2026-08-07,unconfirmed,active
tribe-baltic-title-ltd,Tribe Rental Management,Baltic Title Ltd,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Original notes explicitly flag ownership as unconfirmed ('probably not owned by tribe?') — recorded as managed_by, not common_owner, since Tribe is a property manager, not an established beneficial owner, of these entities.",,2026-08-07,unconfirmed,active
tribe-broadway-properties-ltd,Tribe Rental Management,Broadway Properties Ltd,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Original notes explicitly flag ownership as unconfirmed ('probably not owned by tribe?') — recorded as managed_by, not common_owner, since Tribe is a property manager, not an established beneficial owner, of these entities.",,2026-08-07,unconfirmed,active
tribe-alpha-sigma-investments-ltd,Tribe Rental Management,Alpha Sigma Investments Ltd,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Original notes explicitly flag ownership as unconfirmed ('probably not owned by tribe?') — recorded as managed_by, not common_owner, since Tribe is a property manager, not an established beneficial owner, of these entities.",,2026-08-07,unconfirmed,active
tribe-arnprior-enterprises-ltd,Tribe Rental Management,Arnprior Enterprises Ltd,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Original notes explicitly flag ownership as unconfirmed ('probably not owned by tribe?') — recorded as managed_by, not common_owner, since Tribe is a property manager, not an established beneficial owner, of these entities.",,2026-08-07,unconfirmed,active
tribe-andrew-raab-magda-raab,Tribe Rental Management,Andrew Raab & Magda Raab,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Original notes explicitly flag ownership as unconfirmed ('probably not owned by tribe?') — recorded as managed_by, not common_owner, since Tribe is a property manager, not an established beneficial owner, of these entities.",,2026-08-07,unconfirmed,active
tribe-shapiro-holdings-ltd,Tribe Rental Management,Shapiro Holdings Ltd,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Original notes explicitly flag ownership as unconfirmed ('probably not owned by tribe?') — recorded as managed_by, not common_owner, since Tribe is a property manager, not an established beneficial owner, of these entities.",,2026-08-07,unconfirmed,active
tribe-hemlock-and-west-10-holdings-ltd,Tribe Rental Management,Hemlock And West 10 Holdings Ltd,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Original notes explicitly flag ownership as unconfirmed ('probably not owned by tribe?') — recorded as managed_by, not common_owner, since Tribe is a property manager, not an established beneficial owner, of these entities.",,2026-08-07,unconfirmed,active
tribe-1346-west-11th-management-inc,Tribe Rental Management,1346 West 11th Management Inc,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Original notes explicitly flag ownership as unconfirmed ('probably not owned by tribe?') — recorded as managed_by, not common_owner, since Tribe is a property manager, not an established beneficial owner, of these entities.",,2026-08-07,unconfirmed,active
tribe-laurier-house-apartments-ltd,Tribe Rental Management,Laurier House Apartments Ltd,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Original notes explicitly flag ownership as unconfirmed ('probably not owned by tribe?') — recorded as managed_by, not common_owner, since Tribe is a property manager, not an established beneficial owner, of these entities.",,2026-08-07,unconfirmed,active
tribe-dorset-place-apartment-ltd,Tribe Rental Management,Dorset Place Apartment Ltd,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Original notes explicitly flag ownership as unconfirmed ('probably not owned by tribe?') — recorded as managed_by, not common_owner, since Tribe is a property manager, not an established beneficial owner, of these entities.",,2026-08-07,unconfirmed,active
morris-faigen-name-variant,Morris Faigen & Bertha Cohen,Morris Faigen,same_entity,manual_research,From vhd landlord_mapping.toml business-grouping research. Original list included '(Morris Faigen)' as a separate business alongside 'Morris Faigen & Bertha Cohen' — treated as a shorthand reference to the same person/entity rather than a separate managed business.,,2026-08-07,unconfirmed,active
mapleleaf-331750-bc-ltd,Maple Leaf Property Management,331750 BC Ltd,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. Recorded as managed_by — Maple Leaf is a property manager, not an established beneficial owner.",,2026-08-07,unconfirmed,active
prospero-paul-y-mansion,Prospero International Realty Inc,Paul Y Mansion,managed_by,manual_research,"From vhd landlord_mapping.toml business-grouping research. (aka 'Paul Mansion' in original notes.) Recorded as managed_by — Prospero is a property/realty manager, not an established beneficial owner.",,2026-08-07,unconfirmed,active
westcott-wescott-spelling-variant,Westcott Middlegate Rental Agency Ltd,Wescott Middlegate Rental Agency Ltd,same_entity,manual_research,From vhd landlord_mapping.toml business-grouping research. 'Wescott' vs 'Westcott' spelling variant of the same rental agency.,,2026-08-07,unconfirmed,active
