pid,address_point_id,address,addr_key,local_area,lat_lon
011515457,__FJ0PO0,,,Hastings-Sunrise,"49.28985542061832, -123.02639950806473"
,__FIY4LY,,,Dunbar-Southlands,"49.2300265195073, -123.19593947207039"
,__FIY4M0,,,Dunbar-Southlands,"49.22992663950809, -123.19569335283731"
,__FIY4MM,,,Dunbar-Southlands,"49.22810605924286, -123.19610797121649"
,__FIY4N2,,,Dunbar-Southlands,"49.22735770309952, -123.19430035528933"
,__FIY4N6,,,Dunbar-Southlands,"49.22842192417023, -123.19531915060419"
,__FIY4NE,,,Dunbar-Southlands,"49.22724776068005, -123.19565535862664"
,__FIY4NI,,,Dunbar-Southlands,"49.227265847663304, -123.19622957530476"
,__FIY4NO,,,Dunbar-Southlands,"49.22710933209214, -123.19675717074693"
,__FIY4PW,,,Dunbar-Southlands,"49.229319486144036, -123.19421691587588"
,__FIY4LU,,,Dunbar-Southlands,"49.23031132943265, -123.19666886259114"
,__FIY4PY,,,Dunbar-Southlands,"49.22772423912538, -123.19217276710651"
025975889,__FMTY5H,,,West End,"49.27755419112105, -123.13813494281389"
,__FIY4Q8,,,Dunbar-Southlands,"49.228102431277485, -123.19139547196761"
,__FIY4QG,,,Dunbar-Southlands,"49.227252170931976, -123.19206792720527"
,__FIY4QQ,,,Dunbar-Southlands,"49.22704076787318, -123.19315007183634"
,__FIY4R8,,,Dunbar-Southlands,"49.228687856486005, -123.1925674283512"
,__FIY4RA,,,Dunbar-Southlands,"49.22861438530596, -123.19239338233282"
,__FIY4RE,,,Dunbar-Southlands,"49.22846483025832, -123.1920039672047"
,__FIY4RM,,,Dunbar-Southlands,"49.22832362711761, -123.19305907980737"
,__FIY4RO,,,Dunbar-Southlands,"49.22840468597913, -123.19326199859272"
,__FIY4Q2,,,Dunbar-Southlands,"49.22754785037946, -123.19143630544065"
,__FJ1AS0,,,Grandview-Woodland,"49.28466006420523, -123.07435166319769"
,__FIY4J6,,,,"49.22244870239896, -123.20163925356775"
,__FIY4J2,,,Dunbar-Southlands,"49.22926120730731, -123.2059531933889"
,__FJ22NA,,,Strathcona,"49.27040954908292, -123.08165967799125"
008755621,__FJ0PHQ,,,Hastings-Sunrise,"49.2884327452267, -123.03500051580848"
,__FJ0VXS,,,Riley Park,"49.24179175559175, -123.09649519455047"
,__FJ0VY0,,,Riley Park,"49.24139505965446, -123.0965129685515"
,__FJ0VYA,,,Riley Park,"49.24169018321361, -123.09598544802334"
008755647,__FJ0PHW,,,Hastings-Sunrise,"49.28851473190067, -123.03734180128022"
,__FJ17NE,,,Strathcona,"49.28719470415843, -123.09829151439608"
,__FJ0WDM,,,Riley Park,"49.238719735317574, -123.09410861486795"
,__FJ0VWI,,,Riley Park,"49.24251994629995, -123.09646394259688"
