civic_number;geo_local_area;geom;p_parcel_id;pcoord;site_id;std_street;geo_point_2d
3780;Riley Park;"{""coordinates"": [-123.11490364327835, 49.25127411316316], ""type"": ""Point""}";__FIYNUO;17070298;013358308;CAMBIE ST;49.25127411316316, -123.11490364327835
465;Riley Park;"{""coordinates"": [-123.11411999535945, 49.25138688943709], ""type"": ""Point""}";__FIYNUU;70317039;010871781;W 22ND AV;49.25138688943709, -123.11411999535945
447;Riley Park;"{""coordinates"": [-123.11378112192533, 49.2513804862447], ""type"": ""Point""}";__FIYNUY;70317055;013351231;W 22ND AV;49.2513804862447, -123.11378112192533
439;Riley Park;"{""coordinates"": [-123.11362048320812, 49.2513788452906], ""type"": ""Point""}";__FIYNV0;70317063;006712011;W 22ND AV;49.2513788452906, -123.11362048320812
431;Riley Park;"{""coordinates"": [-123.11345350774857, 49.25137631081347], ""type"": ""Point""}";__FIYNV2;70317071;010871845;W 22ND AV;49.25137631081347, -123.11345350774857
448;Riley Park;"{""coordinates"": [-123.11377392549008, 49.25177087710756], ""type"": ""Point""}";__FIYNVK;70217056;013351371;W 21ST AV;49.25177087710756, -123.11377392549008
462;Riley Park;"{""coordinates"": [-123.11405218146018, 49.25177420084404], ""type"": ""Point""}";__FIYNVO;70217044;005273811;W 21ST AV;49.25177420084404, -123.11405218146018
482;Riley Park;"{""coordinates"": [-123.11448642541576, 49.25178185805844], ""type"": ""Point""}";__FIYNVU;70217024;007538103;W 21ST AV;49.25178185805844, -123.11448642541576
3660;Riley Park;"{""coordinates"": [-123.11485947522308, 49.252350426736385], ""type"": ""Point""}";__FIYNW6;17069792;013361287;CAMBIE ST;49.252350426736385, -123.11485947522308
3660;Riley Park;"{""coordinates"": [-123.11486545852446, 49.252264066637025], ""type"": ""Point""}";__FIYNW8;17069792;013361295;CAMBIE ST;49.252264066637025, -123.11486545852446
475;Riley Park;"{""coordinates"": [-123.11429839388404, 49.252283968761915], ""type"": ""Point""}";__FIYNWC;70217031;013361341;W 21ST AV;49.252283968761915, -123.11429839388404
