ID,Address,Building Name,Secondary Address,Area,Latitude,Longitude,Owner,Operator,Operator Group,Ownership Group,# Registered Rooms,Occupancy Status,Match Method
1,210 Abbott St.,Dominion Hotel,214 & 216 Abbott St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2835594791821,-123.106232882711,BCH,Atira Property Managem,Non-Profit,Government,63,Open,address
2,320 Abbott St.,Metropole Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2825361685905,-123.106675245075,Phl Kim - 0733603 BC Ltd,Private,Private,Private,60,Open,address
3,404 Abbott St.,Abbott Mansions,"418, 402 & 420 Abbott St.; 84 W Hastings St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2816803732872,-123.107051739579,Central City Foundation,Atira Property Managem,Non-Profit,Non-Profit,70,Open,building name
4,455 Abbott St.,Lotus Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2813983766772,-123.107691821345,PR Lotus Hotel Ltd,Private,Private,Private,110,Open,address
5,90 Alexander St.,Alexander Residence,103 Columbia St.; 91 & 99 Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2834925424538,-123.102477767824,COV,COV,Government,Government,30,Open,building name
6,313 Alexander St.,Kenworth Rooms,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2842428088173,-123.097332628042,COV,Atira Property Managem,Non-Profit,Government,24,Open,address
7,362 Alexander St.,Seaview Apartments,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2837644869862,-123.095676533273,Babek Industries Ltd,Atira Women's Resourc,N on-Profit,Private,36,Open,address
8,"500 & 502
 Alexander St.",International Inn,120 Jackson Ave.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2837113883212,-123.093080321181,,,,,,,unmatched
9,504 Alexander St.,Decker Residence,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2837132479636,-123.092892790724,Decker Residence Ltd,Private,Private,Private,37,Open,address
10,514 Alexander St.,Phoenix Apartments,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2837042893413,-123.092400809148,COV,,,Government,20,Closed,address
