addr_key,member_count_active,member_count_all,latest_membership_year
,51,12402,2025.0
# o-2404 guelph st,0,1,2024.0
#ph11 6283 kingsway,0,1,2024.0
'-,0,3,2018.0
(lives with esther),0,3,
000 main st,0,1,
1 1075 west broadway,0,1,2020.0
1 1730 e pender,0,1,2020.0
1 2545 w 5th ave,0,1,
1 436 niagara st,0,1,
1 664 kingsway,1,1,2025.0
10 e 11th ave,0,1,2024.0
10 renaissance sq,0,1,
100 park ave,0,1,
1000 beach ave,0,1,2018.0
1001 1461 harwood st,0,1,2021.0
10011 swinton cres,0,1,
1002 1215 beach ave,0,1,2018.0
10023 imperial st,0,1,
1003 douglas cres,0,1,2023.0
10038 155 st,0,1,
10038b 92 st,0,1,2023.0
1005 jervis st,0,6,2022.0
1005 w 7,0,1,
10058 247b,0,1,
1006 cornwall st,0,1,
1006 nelson st,0,1,2018.0
1006 w 12th ave,0,1,2022.0
1007 6th ave,0,1,
10082 148 st,0,1,
1009 dublin st,0,1,
1009 w 10th ave,0,6,2023.0
1009 w10th,0,7,
101 1728 e2 ave,0,1,2018.0
101 3196 heather st,0,1,
101 3777 cambie st,0,1,2024.0
101 7th ave e,0,1,
101 e 14th ave,0,1,
101 nursery hill dr,0,1,
1010 gilford st,0,3,2018.0
1010 mckenzie ave,0,1,
1010 queens ave,0,2,
1010 richards st,0,1,2018.0
1010 russell st,0,1,
1010 salibury dr,0,1,
1010 salsbury dr,0,1,2018.0
10100 no 3 rd,0,1,2018.0
1011 beach ave,0,6,2022.0
1011 beach ave 707,0,1,2022.0
1011 richelieu ave,0,1,
10139 137 a st,0,1,
10139 137a st,0,2,
1015 3rd ave,0,1,
1015 e 29th st,0,1,
1015 e broadway,0,1,
1015 empress ave,0,1,
1015 gillespie pl,0,1,
1015 kingsway,0,1,2020.0
10151 240 st,0,1,
1016 w 13th ave,0,1,
1018 mason st,0,1,
102,0,1,2018.0
102 1635 e 6th ave,0,1,2022.0
102 2180 east hastings st,0,1,2021.0
102 2231 eton st,0,1,
102 360 east 14th ave,0,1,2018.0
102 3615 victoria dr,0,1,2018.0
102 485 44th ave e,0,1,2018.0
102 agnes st,0,1,
102 fraser st,0,1,
102 victoria dr,0,1,2021.0
1021 harwood st,0,3,2022.0
1021 howay st,0,2,2018.0
1021 wurtele pl,0,1,
1022 nelson st,0,2,2022.0
10227 144a st,0,1,
10237 133 st,0,1,
1024 hutchinson rd,0,1,
1024 ironwork psge,0,1,
1024 thomas ave,0,1,
10240 cambie rd,0,1,
1025 gilford st,1,4,2025.0
1025 granville st,0,1,2020.0
1025 standrews st,0,1,
1026 commercial dr,0,1,2020.0
1026 w 13th ave,1,1,2025.0
10263 144 st,0,1,
